Key,Source,Context,Changes,English,French,German,Klingon,Spanish
awningRedCNRInside,blocks,Block,KgNone,"Пологи Красный уголок Внутри",,,,
awningRedCNRRound,blocks,Block,KgNone,"Пологи Красный уголок Круглый",,,,
awningRedCNRRoundTop,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Пологи Красный уголок Round Top",,,,
awningRedGable,blocks,Block,KgNone,"Навес Red Гейбл",,,,
awningRedPyramid,blocks,Block,KgNone,"Навес Red Pyramid",,,,
awningRedRamp,blocks,Block,KgNone,"Навес Red Ramp",,,,
awningTanBlock,blocks,Block,KgNone,"Навес Тан Блок",,,,
awningTanCNRFull,blocks,Block,KgNone,"Навес Tan Corner Full",,,,
awningTanCNRInside,blocks,Block,KgNone,"Навес Тан Уголок Внутри",,,,
awningTanCNRRound,blocks,Block,KgNone,"Навес Tan Corner Round",,,,
awningTanCNRRoundTop,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Навес Tan Corner Round Top",,,,
awningTanGable,blocks,Block,KgNone,"Навес Тан Гейбл",,,,
awningTanPyramid,blocks,Block,KgNone,"Навес Тан Пирамида",,,,
awningTanRamp,blocks,Block,KgNone,"Навес Тан Ramp",,,,
barnMetalRoofRamp,blocks,Block,KgNone,"Barn Металл крыши Скат",,,,
barnShinglesRamp,blocks,Block,KgNone,"Barn Shingles Ramp",,,,
barnWoodBlock,blocks,Block,KgNone,"Барндеревянный",,,,
barnWoodRoofRamp,blocks,Block,KgNone,"Barn деревянный крыши Скат",,,,
barnWoodWedge,blocks,Block,KgNone,"BarnДеревянная Клин",,,,
barnWoodWedgeTip,blocks,Block,KgNone,"BarnДеревянная Клин",,,,
BaseboardIndustrialTileBlock,blocks,Block,KgNone,"Плинтусный Промышленная плитка Блок",,,,
bed01,blocks,Block,KgNone,"Старая кровать",,,,
bed01Frame,blocks,Block,KgNone,"Каркас кровати",,,,
bed02,blocks,Block,KgNone,"Кровать Кинг-Сайз",,,,
bedGroupDesc,blocks,Block,KgNone,"Поместив кровать на землю окажетесь там когда умрете. Ттак же показывается саркер на карте.",,,,
bedroll,blocks,Block,KgNone,"Спальник",,,,
bedRoll01_1,blocks,Block,KgNone,"одеяле",,,,
blueConcretePillar100,blocks,Block,KgNone,"Синий Бетон Pillar100",,,,
blueDrywallBlock,blocks,Block,KgNone,"Синий Гипсокартон Блок",,,,
blueMetalBlock,blocks,Block,KgNone,"Синий блок металла",,,,
blueMetalCNRRound,blocks,Block,KgNone,"Синий Металлический уголок Круглый",,,,
blueMetalPlate,blocks,Block,KgNone,"Синий металлическая пластина",,,,
blueMetalRamp1,blocks,Block,KgNone,"Синий металл Ramp1",,,,
blueMetalWall01Sheet2,blocks,Block,KgNone,"Синий металл Wall01 Sheet2",,,,
blueMetalWall02Sheet2,blocks,Block,KgNone,"Синий металл Wall02 Sheet2",,,,
blueMetalWall03Sheet2,blocks,Block,KgNone,"Синий металл Wall03 Sheet2",,,,
blueMetalWall04Sheet2,blocks,Block,KgNone,"Синий металл Wall04 Sheet2",,,,
boardedWindowsSheet4,blocks,Block,KgNone,"Оконная каркас",,,,
brickAsphaltBlock,blocks,Block,KgNone,"Кирпич Асфальт Блок",,,,
brickBlock,blocks,Block,KgNone,"Кирпич",,,,
brickCNRFull,blocks,Block,KgNone,"Кирпич Асфальт",,,,
brickCNRInside,blocks,Block,KgNone,"Кирпич Внутри Угла",,,,
brickCNRRamp,blocks,Block,KgNone,"Кирпичный Угол Рампы",,,,
brickCNRRound,blocks,Block,KgNone,"Кирпич угловой круглый",,,,
brickCNRRoundTop,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Кирпич Corner Round Top",,,,
brickDecayedAsphaltBlock,blocks,Block,KgNone,"Кирпич Прогнившее Асфальт Блок",,,,
brickDecayedBlock,blocks,Block,KgNone,"Поврежденный Кирпич",,,,
brickDecayedBroke1Block,blocks,Block,KgNone,"Кирпич Прогнившее Broke1 Блок",,,,
brickDecayedBroke2Block,blocks,Block,KgNone,"Кирпич Прогнившее Broke2 Блок",,,,
brickDecayedBroke3Block,blocks,Block,KgNone,"Кирпич Прогнившее Broke3 Блок",,,,
brickDecayedRamp,blocks,Block,KgNone,"Кирпич Прогнившее Ramp",,,,
brickDecayedTanBlock,blocks,Block,KgNone,"Кирпич Прогнившее Тан Блок",,,,
brickDecayedTanRamp,blocks,Block,KgNone,"Кирпич Прогнившее Тан Ramp",,,,
brickGroupDesc,blocks,Block,KgNone,"Кирпичные стены предлагают достойную защиту и могут быть улучшены до бетона.",,,,
brickMetalHalf,blocks,Block,KgNone,"Кирпич Металл 1/2 Блок",,,,
brickMetalWedge,blocks,Block,KgNone,"Кирпич Металл Клин",,,,
brickMetalWedgeTip,blocks,Block,KgNone,"Кирпич Металл Клин",,,,
brickModern01ShinglesRamp,blocks,Block,KgNone,"Кирпич Modern01 Shingles Ramp",,,,
brickModernBlock,blocks,Block,KgNone,"Кирпич Современный блок",,,,
brickModernGable,blocks,Block,KgNone,"Кирпич Современные Гейбл",,,,
brickModernOrangeDrywallBlock,blocks,Block,KgNone,"Кирпич Современный Оранжевый Гипсокартон Блок",,,,
brickModernTanBaseboardBlock,blocks,Block,KgNone,"Кирпич Современные Тан Плинтусный Блок",,,,
brickModernTanDrywallBlock,blocks,Block,KgNone,"Кирпич Современные Тан Гипсокартон Блок",,,,
brickModernTanIndustrialTileBlock,blocks,Block,KgNone,"Кирпич Современные Тан Промышленная плитка Блок",,,,
brickOldWoodBlock,blocks,Block,KgNone,"Кирпич Старый деревянный блок",,,,
brickpaintedBlock,blocks,Block,KgNone,"Brickpainted Блок",,,,
brickPaintedBlueDrywallBlock,blocks,Block,KgNone,"Кирпич окрашены в синий цвет Гипсокартон Блок",,,,
brickPaintedIndustrialTileBlock,blocks,Block,KgNone,"Кирпич Окрашенные Промышленные плитки Блок",,,,
brickPaintedRamp,blocks,Block,KgNone,"Кирпич Окрашенный Ramp",,,,
brickPaintedTanBaseboardBlock,blocks,Block,KgNone,"Кирпич Окрашенные Тан Плинтусный Блок",,,,
brickPaintedTanDrywallBlock,blocks,Block,KgNone,"Кирпич Окрашенные Тан Гипсокартон Блок",,,,
brickPaversBlock,blocks,Block,KgNone,"Кирпич Брусчатка",,,,
brickPaversStairs25,blocks,Block,KgNone,"Брусчатые ступеньки",,,,
brickPlasterBaseboardBlock,blocks,Block,KgNone,"Кирпич Штукатурка Плинтусный Блок",,,,
brickPlasterMiddleBlock,blocks,Block,KgNone,"Кирпич Штукатурка Средний Блок",,,,
brickPlasterTopBlock,blocks,Block,KgNone,"Кирпич Штукатурка верхнего блока",,,,
brickPlate,blocks,Block,KgNone,"Кирпич Плиты",,,,
brickRamp,blocks,Block,KgNone,"Кирпич Ramp",,,,
bridgeAsphaltBlock,blocks,Block,KgNone,"Мост Блок Асфальт",,,,
bridgeConcreteBlock,blocks,Block,KgNone,"Мост бетонных блоков",,,,
bridgeMetalRivetBlock,blocks,Block,KgNone,"Мост Металл Заклепка Блок",,,,
bridgeWoodBlock,blocks,Block,KgNone,"Мост паркетная",,,,
brownGrassDiagonal,blocks,Block,KgNone,"Трава",,,,
burningBarrel,blocks,Block,KgNone,"Горящая Бочка",,,,
burningBarrelDesc,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Горящий ствол является существенной опорой во всех пост-апокалиптическом обстановке.",,,,
cabinetFiller2Block,blocks,Block,KgNone,"Кабинет заполнитель2 Блок",,,,
cabinetFillerBlock,blocks,Block,KgNone,"Кабинет Наполнитель Блок",,,,
cabinetOldFiller2Block,blocks,Block,KgNone,"Кабинет Старый заполнитель2 Блок",,,,
cabinetOldFillerBlock,blocks,Block,KgNone,"Кабинет Старый Наполнитель Блок",,,,
cabinetOldTopPlate,blocks,Block,KgNone,"Кабинет Старый верхняя пластина",,,,
cabinetTopPlate,blocks,Block,KgNone,"Кабинет Верхняя пластина",,,,
cabinFlagstoneRamp,blocks,Block,KgNone,"Плитняк Кабины Пандус",,,,
cabinOldWoodRamp,blocks,Block,KgNone,"Кабина Старый деревянный Ramp",,,,
cabinShinglesWoodRamp,blocks,Block,KgNone,"Кабина Shingles деревянный Ramp",,,,
cabinWoodWedge,blocks,Block,KgNone,"КабинаДеревянная Клин",,,,
cabinWoodWedgeTip,blocks,Block,KgNone,"КабинаДеревянная Клин",,,,
cable1,blocks,Block,KgNone,"Cable1",,,,
camoNetBlock,blocks,Block,KgNone,"Камуфляж Сетки Блока",,,,
camoNetCNRFull,blocks,Block,KgNone,"Плетение Камуфляж Углу",,,,
camoNetGroupDesc,blocks,Block,KgNone,"Камуфляж на базу! К сожалению, зомби, кажется, чтобы найти вас по запаху.",,,,
camoNetRamp,blocks,Block,KgNone,"Камуфляж Сетки Пандус",,,,
camoNetSheet,blocks,Block,KgNone,"Камуфляж Сетки",,,,
candleTable,blocks,Block,EnChanged KgNone,"Свеча",,,,
candleWall,blocks,Block,EnChanged KgNone,"Свеча",,,,
Carpet1Block,blocks,Block,KgNone,"Carpet1 Блок",,,,
carpet1Stairs25,blocks,Block,KgNone,"Carpet1 Stairs25",,,,
Carpet1WoodPainted2Block,blocks,Block,KgNone,"Carpet1 деревянный Painted2 Блок",,,,
Carpet2Block,blocks,Block,KgNone,"Carpet2 Блок",,,,
carpet2Stairs25,blocks,Block,KgNone,"Carpet2 Stairs25",,,,
Carpet2WoodPainted2Block,blocks,Block,KgNone,"Carpet2 деревянный Painted2 Блок",,,,
carpet3DrywallBlock,blocks,Block,KgNone,"Carpet3 Гипсокартон Блок",,,,
cashRegisterEmpty,blocks,Block,KgNone,"Кассовый Пусто",,,,
ceilingLight01,blocks,Block,KgNone,"Потолок Light01",,,,
ceilingLight02,blocks,Block,KgNone,"Потолок Light02",,,,
ceilingLight02Brass,blocks,Block,KgNone,"Потолок Light02 Латунь",,,,
ceilingLight04,blocks,Block,KgNone,"Потолок Light04",,,,
ceilingLight05,blocks,Block,KgNone,"Потолок Light05",,,,
ceilingLight05Brass,blocks,Block,KgNone,"Потолок Light05 Латунь",,,,
ceilingLight07,blocks,Block,KgNone,"Потолок Light07",,,,
chainLink,blocks,Block,GrChanged,"Звено цепи",,,,
chainLinkCornerBottom,blocks,Block,GrChanged,"Сеть Link Corner Bottom",,,,
chainLinkCornerTop,blocks,Block,GrChanged,"Сеть Link Corner Top",,,,
chainLinkFenceBottomPole,blocks,Block,GrChanged,"Цепь ограждения нижний Брус",,,,
chainLinkFenceTop,blocks,Block,GrChanged,"Цепь ограждения Вверх",,,,
chainLinkFenceTopPole,blocks,Block,GrChanged,"Цепь ограждения Top Брус",,,,
chainLinkFenceTopPole2,blocks,Block,GrChanged,"Цепи ссылка забор Top Pole2",,,,
chainLinkPole,blocks,Block,GrChanged,"Звено цепи Брус",,,,
chair01,blocks,Block,KgNone,"Старый Стул",,,,
chair04,blocks,Block,EnChanged GrChanged,"Кожаный Стул",,,,
chaulkboardPlate,blocks,Block,KgNone,"Chaulkboard Plate",,,,
cinderBlocks01,blocks,Block,KgNone,"Кирпичи01",,,,
cinderBlocks02,blocks,Block,KgNone,"Кирпичи02",,,,
cinderBlocks03,blocks,Block,KgNone,"Кирпичи03",,,,
clayRoofBlock,blocks,Block,KgNone,"Клей Для Кровли Блока",,,,
clayRoofCNRFull,blocks,Block,KgNone,"блок Крыши Из Глины Угол",,,,
clayRoofCNRInside,blocks,Block,KgNone,"Глиняные Крыши Внутренняя Угловая",,,,
clayRoofGroupDesc,blocks,Block,KgNone,"Глиняная крыша защитит вас от дождя или снега.",,,,
clayRoofRamp,blocks,Block,KgNone,"Клей Для Кровли Рампы",,,,
cobblestoneBlock,blocks,Block,KgNone,"Блок булыжников",,,,
cobblestoneBlockHalf,blocks,Block,KgNone,"1/2 Блок булыжников",,,,
cobblestoneBlockQuarter,blocks,Block,KgNone,"Булыжник 1/4 Block булыжников",,,,
cobblestoneBlockThreeQuarters,blocks,Block,KgNone,"Булыжник 3/4 Блок",,,,
cobblestoneCNRFull,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Full Corner",,,,
cobblestoneCNRInside,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник внутреннего угла",,,,
cobblestoneFrameBlock,blocks,Block,KgNone,"Булыжник каркас",,,,
cobblestoneFrameCNRFull,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Полный кадр Уголок",,,,
cobblestoneFrameCNRInside,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Кадр Внутренний угол",,,,
cobblestoneFrameGroupDesc,blocks,Block,KgNone,"Используется для основы. Обновление и ремонт булыжные камни. Обновление еще с железного лома, бетонные смеси и кованой стали.",,,,
cobblestoneFramePillar100,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник каркас столб 100",,,,
cobblestoneFramePillar50,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Столб каркас 50",,,,
cobblestoneFramePlate,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник каркас плиты",,,,
cobblestoneFramePole,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник кадров Брус",,,,
cobblestoneFrameRamp,blocks,Block,KgNone,"Булыжник Каркаса Пандуса",,,,
cobblestoneFrameRampHalf,blocks,Block,KgNone,"Булыжник каркас Ramp Половина",,,,
cobblestoneFrameRampQuarter,blocks,Block,KgNone,"Булыжник каркас Ramp Квартал",,,,
cobblestoneFrameStairs25,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Каркас булыжных ступенек",,,,
cobblestoneFrameWedge,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник кадров Клин",,,,
cobblestoneFrameWedgeTip,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник каркас Клин Подсказка",,,,
cobblestonePillar100,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник столб 100",,,,
cobblestonePillar50,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Столб 50",,,,
cobblestonePlate,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Plate",,,,
cobblestonePole,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Брус",,,,
cobblestoneRamp,blocks,Block,KgNone,"Булыжник Ramp",,,,
cobblestoneStairs25,blocks,Block,KgNone,"лестница из булыжника",,,,
cobblestoneStairs25Desc,blocks,Block,KgNone,"Может быть повышен до бетона.",,,,
cobblestoneWedge,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Клин",,,,
cobblestoneWedgeTip,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Булыжник Клин Подсказка",,,,
cobweb,blocks,Block,KgNone,"Паутина",,,,
cobwebDesc,blocks,Block,KgNone,"Паутина. Если это чудо может что-то значить.",,,,
commercialDoor1_v1,blocks,Block,KgNone,"Коммерческие Двери 1",,,,
commercialDoor1_v2,blocks,Block,KgNone,"Коммерческая Door1 v2",,,,
commercialDoor1_v3,blocks,Block,KgNone,"Коммерческая Door1 v3",,,,
commercialDoor2_v1,blocks,Block,KgNone,"Коммерческие Двери 2",,,,
commercialDoor2_v2,blocks,Block,KgNone,"Коммерческая Door2 v2",,,,
commercialDoor2_v3,blocks,Block,KgNone,"Коммерческая Door2 v3",,,,
commercialDoor4_v1,blocks,Block,KgNone,"Коммерческие Двери 4",,,,
commercialDoor4_v2,blocks,Block,KgNone,"Коммерческая Door4 v2",,,,
commercialDoor4_v3,blocks,Block,KgNone,"Коммерческая Door4 v3",,,,
concreteAsphaltHalf,blocks,Block,KgNone,"Бетон Асфальт 1/2 Блок",,,,
concreteBlock,blocks,Block,KgNone,"Бетонный Блок",,,,
concreteBlueDrywallBlock,blocks,Block,KgNone,"Бетон Синий Гипсокартон Блок",,,,
concreteBricksBlock,blocks,Block,KgNone,"Бетон Кирпич Блок",,,,
concreteCNRFull,blocks,Block,KgNone,"Бетонные Полный Угол",,,,
concreteCNRInside,blocks,Block,KgNone,"Бетон Внутри Угла",,,,
concreteCNRRamp,blocks,Block,KgNone,"Конкретный Угол Рампы",,,,
concreteCNRRound,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Бетон Корнер Круглый",,,,
concreteCNRRoundTop,blocks,Block,KeyTrunk FrNone GrNone KgNone SpNone,"Бетон Corner Round Top",,,,
concreteCTRPlate,blocks,Block,KgNone,"Бетонные Плиты По Центру",,,,
concreteDestroyed1,blocks,Block,KgNone,"Бетон Destroyed1",,,,
concreteDestroyed2,blocks,Block,KgNone,"Бетон Destroyed2",,,,
concreteDestroyed3,blocks,Block,KgNone,"Бетон Destroyed3",,,,
concreteDestroyed4,blocks,Block,KgNone,"Бетон Destroyed4",,,,
concreteDestroyed5,blocks,Block,KgNone,"Бетон Destroyed5",,,,
concreteDestroyed6,blocks,Block,KgNone,"Бетон Destroyed6",,,,
concreteDestroyed7,blocks,Block,KgNone,"Бетон Destroyed7",,,,
concreteDestroyed8,blocks,Block,KgNone,"Бетон Destroyed8",,,,
concreteDestroyed9,blocks,Block,KgNone,"Бетон Destroyed9",,,,
concreteEighth,blocks,Block,KgNone,"1/8 Бетонный Блок",,,,
concreteFormBlock,blocks,Block,KgNone,"Конкретный вид блока",,,,
concreteFormCNRInside,blocks,Block,KgNone,"Конкретный вид Уголок Внутри",,,,
concreteFormRamp,blocks,Block,KgNone,"Конкретная форма Ramp",,,,
concreteGroupDesc,blocks,Block,KgNone,"Бетон обеспечивает хорошую защиту и очень гибкий строительный материал позволяющий обработать множество форм. Может быть повышен.",,,,
concreteHalf,blocks,Block,KgNone,"1/2 Бетонный Блок",,,,
concreteIndustrialTileBlock,blocks,Block,KgNone,"Бетон Промышленные плитки Блок",,,,
concretePillar100,blocks,Block,KgNone,"Железобетонный Столб 100",,,,
concretePillar50,blocks,Block,KgNone,"Железобетонный Столб 50",,,,
concretePlate,blocks,Block,KgNone,"Бетонные Плиты",,,,
concretePole,blocks,Block,KgNone,"Бетонный Столб",,,,
concretePyramid,blocks,Block,KgNone,"Бетонные Пирамиды",,,,
concreteQuarter,blocks,Block,KgNone,"1/4 Бетонный Блок",,,,
concreteRamp,blocks,Block,KgNone,"Бетонный Пандус",,,,
concreteStairs25,blocks,Block,KgNone,"Бетонные ступеньки",,,,
concreteStairs50,blocks,Block,KgNone,"Бетонные ступеньки2",,,,
concreteSupport,blocks,Block,KgNone,"Конкретная поддержка",,,,
concreteTanBaseboardBlock,blocks,Block,KgNone,"Бетон Тан Плинтусный Блок",,,,
concreteTanDrywallBlock,blocks,Block,KgNone,"Бетон Тан Гипсокартон Блок",,,,
concreteTileBrownBlock,blocks,Block,KgNone,"Бетонная плитка Коричневый Блок",,,,
concreteTileGreenBlock,blocks,Block,KgNone,"Бетонные плитки Зеленый Блок",,,,
concreteTrim2Block,blocks,Block,KgNone,"Бетон Отделка 2 Блока",,,,
concreteTrim2Broke1,blocks,Block,KgNone,"Бетон Trim2 Broke1",,,,
concreteTrim2Broke2,blocks,Block,KgNone,"Бетон Trim2 Broke2",,,,
concreteTrim2Broke3,blocks,Block,KgNone,"Бетон Trim2 Broke3",,,,
concreteTrim2Broke4,blocks,Block,KgNone,"Бетон Trim2 Broke4",,,,
concreteTrim2IndustrialTileBlock,blocks,Block,KgNone,"Бетон Trim2 Промышленная плитка Блок",,,,
concreteTrim2Ramp,blocks,Block,KgNone,"Бетон Trim2 Ramp",,,,
concreteTrim2TanBaseboardBlock,blocks,Block,KgNone,"Бетон Trim2 Тан Плинтусный Блок",,,,
concreteTrim2TanDrywallBlock,blocks,Block,KgNone,"Бетон Trim2 Тан Гипсокартон Блок",,,,
concreteTrim3Block,blocks,Block,KgNone,"Бетонный блок Trim3",,,,
concreteTrim3IndustrialTileBlock,blocks,Block,KgNone,"Бетон Trim3 Промышленная плитка Блок",,,,
concreteTrim3TanBaseboardBlock,blocks,Block,KgNone,"Бетон Trim3 Тан Плинтусный Блок",,,,
concreteTrim3TanDrywallBlock,blocks,Block,KgNone,"Бетон Trim3 Тан Гипсокартон Блок",,,,
concreteTrimBlock,blocks,Block,KgNone,"Бетонный блок уравновешивания",,,,
concreteTrimCNRRamp,blocks,Block,KgNone,"Бетонные Отделка Угловые Ramp",,,,
concreteTrimIndustrialTileBlock,blocks,Block,KgNone,"Бетонные Отделка Промышленные плитки Блок",,,,
concreteTrimRamp,blocks,Block,KgNone,"Бетон Обрезка Ramp",,,,
concreteTrimTanBaseboardBlock,blocks,Block,KgNone,"Бетонные Отделка Тан Плинтусный Блок",,,,
concreteTrimTanDrywallBlock,blocks,Block,KgNone,"Бетонные Отделка Тан Гипсокартон Блок",,,,
concreteWedge,blocks,Block,KgNone,"Бетон Клин",,,,
concreteWedgeTip,blocks,Block,KgNone,"Бетон Клин",,,,
conduit01,blocks,Block,KgNone,"Conduit01",,,,
conduit01Corner,blocks,Block,KgNone,"Conduit01 Corner",,,,
conduit01Curve,blocks,Block,KgNone,"Conduit01 Кривая",,,,
conduit01End,blocks,Block,KgNone,"Conduit01 End",,,,
controlPanelBase01,blocks,Block,KgNone,"Панель управления Base01",,,,
controlPanelBase02,blocks,Block,KgNone,"Панель управления Base02",,,,
controlPanelBase03,blocks,Block,KgNone,"Панель управления Base03",,,,
controlPanelBase04,blocks,Block,KgNone,"Панель управления Base04",,,,
controlPanelBase05,blocks,Block,KgNone,"Панель управления Base05",,,,
controlPanelBase06,blocks,Block,KgNone,"Панель управления Base06",,,,
controlPanelBase07,blocks,Block,KgNone,"Панель управления Base07",,,,
controlPanelBase08,blocks,Block,KgNone,"Панель управления Base08",,,,
controlPanelCorner,blocks,Block,KgNone,"Панель управления Уголок",,,,
controlPanelTop01,blocks,Block,KgNone,"Панель управления Top01",,,,
controlPanelTop02,blocks,Block,KgNone,"Панель управления Top02",,,,
controlPanelTop03,blocks,Block,KgNone,"Панель управления Top03",,,,
controlPanelTop04,blocks,Block,KgNone,"Панель управления Top04",,,,
controlPanelTop05,blocks,Block,KgNone,"Панель управления Top05",,,,
controlPanelTop06,blocks,Block,KgNone,"Панель управления Top06",,,,
controlPanelTop07,blocks,Block,KgNone,"Панель управления Top07",,,,
cookingPot,blocks,Block,KgNone,"Кастрюли",,,,
cookingPotDesc,blocks,Block,KgNone,"Используется кухонная посуда в костер чтобы разблокировать рецепты.",,,,
corrugatedDecayedBrickGable,blocks,Block,KgNone,"Гофрированный Прогнившее Кирпич Гейбл",,,,
corrugatedDecayedBrickQuarterGable,blocks,Block,KgNone,"Гофрированный Прогнившее Кирпич Квартал Гейбл",,,,
corrugatedMetalBlock,blocks,Block,KgNone,"Гофрированный металлический блок",,,,
corrugatedMetalBlockDuplicate,blocks,Block,KgNone,"Гофрированный металлический блок Дублированный",,,,
corrugatedMetalCNRFull,blocks,Block,KgNone,"Рифленого металла Уголок Полный",,,,
corrugatedMetalCNRInside,blocks,Block,KgNone,"Рифленого металла Уголок Внутри",,,,
corrugatedMetalCNRRamp,blocks,Block,KgNone,"Рифленого металла Уголок Ramp",,,,
