"Key","Source","Context","Changes","English","French","German","Klingon","Spanish","Polish"
"birdBathPlanter","blocks","Block","New","Карыто для корма птиц",,,,,
"boardedWindowsSheet4","blocks","Block","KgNone","ОБИВКА ОКНА",,,,,
"bodyBagBlack","blocks","Block","New","Черный Пакет с тупом",,,,,
"bodyBagPair","blocks","Block","New","Пара Пакетов с трупами",,,,,
"bodyBagPairMixed","blocks","Block","New","Разные Пакеты с трупами",,,,,
"bodyBagPairYellow","blocks","Block","New","Куча желтых пакетов с трупами",,,,,
"bodyBagPile","blocks","Block","New","Куча пакетов с трупами",,,,,
"bodyBagPileMix","blocks","Block","New","Куча разных пакетов с трупами",,,,,
"bodyBagYellow","blocks","Block","New","Желтый пакет с трупом",,,,,
"brickArch","blocks","Block","New","Кирпичная кладка(АРКА 2М)",,,,,
"brickArchCurveBase","blocks","Block","New","Кирпичная арка (БАЗА)",,,,,
"brickArchCurveFiller","blocks","Block","New","Кирпичная арка (КРАЙ)",,,,,
"brickArchCurveMiddle","blocks","Block","New","Кирпичная арка (СЕРЕДИНА)",,,,,
"brickArchCurveTop","blocks","Block","New","Кирпичная арка (Верх)",,,,,
"brickArchCurveTopMiddle","blocks","Block","New","Кирпичная арка (ВЕРХ/СЕРЕДИНА)",,,,,
"brickArchCurveTopMiddleTopper","blocks","Block","New","Кирпичная арка (ВЕРХ/СЕРЕДИНА/Цилиндр)",,,,,
"brickArchCurveWall","blocks","Block","New","Кирпичная арка стенка",,,,,
"brickArchCurveWallCap","blocks","Block","New","Кирпичная арка (Край)",,,,,
"brickBlock","blocks","Block","KgNone","Кирпичная арка",,,,,
"brickBlockBaseboard1","blocks","Block","New","Кирпичный блок 1",,,,,
"brickBlockBaseboard4","blocks","Block","New","Кирпичный блок 4",,,,,
"brickBlockBaseboardChairRail1","blocks","Block","New","Кирпичный блок С деревянным покрытием 1",,,,,
"brickBlockBaseboardChairRail4","blocks","Block","New","Кирпичный блок С деревянным покрытием 4",,,,,
"brickBlockTileBroken01","blocks","Block","New","Кирпичный блок с отколотой плиткой",,,,,
"brickCNRFull","blocks","Block","KgNone","Кирпичная кладка(ПОЛНЫЙ УГОЛ)",,,,,
"brickCNRInside","blocks","Block","KgNone","Кирпичная кладка(ВНУТР. УГОЛ)",,,,,
"brickCNRRamp","blocks","Block","KgNone","Кирпичная кладка(РАМПА/УГОЛ)",,,,,
"brickCNRRampFiller","blocks","Block","New","Кирпичная кладка(РАМПА/УГОЛ/ЗАГЛУШКА)",,,,,
"brickCNRRound","blocks","Block","KgNone","Кирпичная кладка(КРУГЛЫЙ УГОЛ)",,,,,
"brickCNRRoundTop","blocks","Block","New","Кирпичная кладка(КРУГЛЫЙ УГОЛ/ВЕРХ)",,,,,
"brickCornerstone","blocks","Block","New","Кирпичный блок с бетонной вставкой",,,,,
"brickCTRpole","blocks","Block","New","Кирпичная кладка(СТОЛБ/ЦЕНТР)",,,,,
"brickCTRQuarter","blocks","Block","New","1/4 Кирпичного блока центр",,,,,
"brickDestroyedBlock01","blocks","Block","KeyChanged","РАЗРУШЕННЫЙ СТАРЫЙ Кирпичная кладка1 (БЛОК)",,,,,
"brickDestroyedBlock02","blocks","Block","KeyChanged","РАЗРУШЕННЫЙ СТАРЫЙ Кирпичная кладка2 (БЛОК)",,,,,
"brickDestroyedBlock03","blocks","Block","KeyChanged","РАЗРУШЕННЫЙ СТАРЫЙ Кирпичная кладка3 (БЛОК)",,,,,
"brickGable","blocks","Block","New","Кирпичная кладка(ЩИПЕЦ)",,,,,
"brickGable1m","blocks","Block","New","Кирпичная кладка (КОНУС)",,,,,
"brickGableInvertedHalf","blocks","Block","New","Кирпичная кладка с средней выемкой",,,,,
"brickGableInvertedQuarter","blocks","Block","New","Кирпичная кладка с маленькой выемкой",,,,,
"brickGableInvertedSteep","blocks","Block","New","Кирпичная кладка с большой выемкой",,,,,
"brickGableQuarter","blocks","Block","New","Кирпичная кладка (МАЛЕНЬКИЙ КОНУС)",,,,,
"brickGroupDesc","blocks","Block","KgNone","КИРПИЧНЫЕ СТЕНЫ ОБЕСПЕЧИВАЮТ НЕПЛОХУЮ ЗАЩИТУ, И МОГУТ БУТЬ ПОЗЖЕ УЛУЧШЕНЫ ДО БЕТОННЫХ.",,,,,
"brickHalf","blocks","Block","New","Кирпичная кладка(1/2 БЛОКА)",,,,,
"brickHalfCentered","blocks","Block","New","Кирпичная кладка 1/2 (Блок центр)",,,,,
"brickHalfCNRInside2","blocks","Block","New","Кирпичная кладка 1/2 (Внутренний угол) 2",,,,,
"brickHalfRampStairs50","blocks","Block","New","Кирпичная кладка (Блок -1/2 Рампы)",,,,,
"brickHalfRampStairs50Filler","blocks","Block","New","Кирпичная кладка (1/2 Рампы)",,,,,
"brickPlate","blocks","Block","KgNone","Кирпичная кладка(ПЛИТА)",,,,,
"brickPlateOffset","blocks","Block","New","Кирпичная кладка (Сдвинутая плита)",,,,,
"brickPoleSCTR","blocks","Block","New","Кирпичная кладка (Столб/Центр/Край)",,,,,
"brickPyramid1m","blocks","Block","New","Кирпичная кладка (Пирамида 1м)",,,,,
"brickQuarterCNR","blocks","Block","New","Кирпичная кладка 1/4 Corner",,,,,
"brickQuarterCNR3Way","blocks","Block","New","Кирпичная кладка (1/4 блока/тройник)",,,,,
"brickQuarterSCtr","blocks","Block","New","Кирпичная кладка (1/4 блока/Центр/Край)",,,,,
"brickQuarterTeeSCtr","blocks","Block","New","Кирпичная кладка (1/4 блока/ Т-образный/Край)",,,,,
"brickRamp","blocks","Block","KgNone","Кирпичная кладка(РАМПА)",,,,,
"brickStairs25","blocks","Block","New","Кирпичная кладка (лестница)",,,,,
"brickStairs25CornerCNR","blocks","Block","New","Кирпичная кладка (лестница Углом)",,,,,
"brickStairsFilledRailingLeft","blocks","Block","New","Кирпичная кладка (лестница/перила с лева)",,,,,
"brickStairsFilledRailingRight","blocks","Block","New","Кирпичная кладка (лестница/перила с права)",,,,,
"brickTubeCenter","blocks","Block","New","Кирпичная кладка(Центр трубы)",,,,,
"brickTubeCorner","blocks","Block","New","Кирпичная кладка (Угол трубы)",,,,,
"brickTunnelCenter","blocks","Block","New","Кирпичная кладка (Центр туннеля)",,,,,
"brickTunnelCorner","blocks","Block","New","Кирпичная кладка (Угол туннеля)",,,,,
"brickWedge","blocks","Block","New","Кирпичная кладка (Клин)",,,,,
"brickWedgeCNRInsideBottom","blocks","Block","New","Кирпичная кладка(КЛИН/ВНУТР. УГОЛ/НИЗ)",,,,,
"brickWedgeCNRInsideSteepBase","blocks","Block","New","Кирпичная кладка (Внутренний угол/База)",,,,,
"brickWedgeCNRInsideSteepTop","blocks","Block","New","Кирпичная кладка (Внутренний угол/Верх)",,,,,
"brickWedgeCNRInsideTop","blocks","Block","New","Кирпичная кладка(КЛИН/ВНУТР. УГОЛ/ВЕРХ)",,,,,
"brickWedgeCNRSteepBase","blocks","Block","New","Кирпичная кладка (Клин База)",,,,,
"brickWedgeCNRSteepTop","blocks","Block","New","Кирпичная кладка (Клин Верх)",,,,,
"brickWedgeIncline","blocks","Block","New","Кирпичная кладка(КЛИН/НАКЛОН)",,,,,
"brickWedgeStairs","blocks","Block","New","Кирпичная кладка(КЛИН/СТУПЕНЬКИ)",,,,,
"brickWedgeTip","blocks","Block","New","Кирпичная кладка (Клин кончик)",,,,,
"brickWedgeTipCNRFullBottom","blocks","Block","New","Кирпичная кладка(КЛИН/ПОЛНЫЙ УГОЛ/НИЗ)",,,,,
"brickWedgeTipCNRFullTop","blocks","Block","New","Кирпичная кладка(КЛИН/ПОЛНЫЙ УГОЛ/ВЕРХ)",,,,,
"brickWedgeTipStairs","blocks","Block","New","Кирпичная кладка(КЛИН/КОНЧИК/СТУПЕНЬКИ)",,,,,
"brickWindowArchTop","blocks","Block","New","Кирпичная кладка(Арка-Блок)",,,,,
"brickWindowCircle","blocks","Block","New","Кирпичная кладка(Арка-Угол)",,,,,
"brickWindowCircleCorner","blocks","Block","New","Кирпичная кладка(блок без кромки)",,,,,
"bridgeConcreteBlock","blocks","Block","KgNone","МОСТ/БЕТОН (БЛОК)",,,,,
"bridgeMetalRivetBlock","blocks","Block","KgNone","МОСТ/КЛЁПАНЫЙ МЕТАЛЛ (БЛОК)",,,,,
"bridgeWoodBlock","blocks","Block","KgNone","МОСТ/ДЕРЕВО (БЛОК)",,,,,
"buildingBlockGroupDesc","blocks","Block","New","СТРОИТЕЛЬНЫЙ БЛОК ИЗ КРЕАТИВНОГО МЕНЮ.",,,,,
"bulletproofGlassGroupDesc","blocks","Block","New","ПУЛЕНЕПРОБИВАЕМОЕ СТЕКЛО МОЖЕТ БЫТЬ ПОЧИНЕНО, НО ДЛЯ ЭТОГО ПОТРЕБУЮТСЯ НОВЫЕ БЛОКИ ТАКОГО ЖЕ ТИПА КАК РЕМОНТНЫЙ МАТЕРИАЛ.",,,,,
"burningBarrel","blocks","Block","EnChanged","ГОРЯЩАЯ БОЧКА (СТАЦИОНАР)",,,,,
"burningBarrelDesc","blocks","Block","New","ГОРЯЩАЯ БОЧКА - ВАЖНЫЙ ЭЛЕМЕНТ В ПОСТ-АПОКАЛИПТИЧСКОМ СЕТТИНГЕ.",,,,,
"burningBarrelPlayer","blocks","Block","KgNone","ГОРЯЩАЯ БОЧКА",,,,,
"burntWoodBlock1","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (БЛОК 1)",,,,,
"burntWoodBlock2","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (БЛОК 2)",,,,,
"burntWoodBlock3","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (БЛОК 3)",,,,,
"burntWoodBlock4","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (БЛОК 4)",,,,,
"burntWoodBlock5","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (БЛОК 5)",,,,,
"burntWoodBlock6","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (БЛОК 6)",,,,,
"burntWoodRamp7","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (РАМПА/БЛОК 7)",,,,,
"burntWoodWedge7","blocks","Block","KeyChanged EnChanged GrChanged","ГОРЕЛОЕ ДЕРЕВО (КЛИН/БЛОК 7)",,,,,
"cable1","blocks","Block","KgNone","КАБЕЛЬ 1",,,,,
"candleTableLight","blocks","Block","EnChanged KgNone","Свеча настольная (СТАЦИОНАР)",,,,,
"candleTableLightPlayer","blocks","Block","New","Свеча настольная",,,,,
"candleWallLight","blocks","Block","EnChanged KgNone","Свеча настенная (СТАЦИОНАР)",,,,,
"candleWallLightPlayer","blocks","Block","New","Свеча настенная",,,,,
"carsRandomHelper","blocks","Block","KgNone","Машина Случайный спавн",,,,,
"carsRandomHelperDesc","blocks","Block","New","Случайный спавн (в основном в неповрежденном состоянии), (редко поврежден), (очень редко автокатастрофа)",,,,,
"ceilingFanLight","blocks","Block","New","Потолочный Вентилятор (СТАЦИОНАР)",,,,,
"ceilingLight01","blocks","Block","EnChanged","ПРОСТАЯ ЛАМПОЧКА (СТАЦИОНАР)",,,,,
"ceilingLight02","blocks","Block","EnChanged","ЛАМПА С СЕРЕБРЯНЫМ КОЛПАКОМ (СТАЦИОНАР)",,,,,
"ceilingLight02Brass","blocks","Block","EnChanged","ЛАМПА С ЛАТУННЫМ КОЛПАКОМ (СТАЦИОНАР)",,,,,
"ceilingLight04","blocks","Block","EnChanged","ПОТОЛОЧНАЯ ЛАМПА АМБАРА (СТАЦИОНАР)",,,,,
"ceilingLight05","blocks","Block","EnChanged","ЛАМПА С ПОСЕРЕБРЕННЫМ СТЕКЛОМ (СТАЦИОНАР)",,,,,
"ceilingLight05Brass","blocks","Block","EnChanged","ЛАМПА С ЛАТУННЫМ СТЕКЛОМ (СТАЦИОНАР)",,,,,
"ceilingLight07","blocks","Block","EnChanged","ЛАМПА ДНЕВНОГО СВЕТА (СТАЦИОНАР)",,,,,
"chainLink","blocks","Block","GrChanged","СЕТКА РАБИЦА",,,,,
"chainLinkCornerBottom","blocks","Block","GrChanged","ЗАБОР ИЗ РАБИЦЫ (УГОЛ)",,,,,
"chainLinkCornerTop","blocks","Block","GrChanged","ЗАБОР ИЗ РАБИЦЫ (УГОЛ/ВЕРХ)",,,,,
"chainLinkFenceBottomPole","blocks","Block","GrChanged","ЗАБОР ИЗ РАБИЦЫ (СТОЛБ/НИЗ)",,,,,
"chainLinkFenceTop","blocks","Block","GrChanged","ЗАБОР ИЗ РАБИЦЫ (ВЕРХ)",,,,,
"chainLinkFenceTopPole","blocks","Block","GrChanged","ЗАБОР ИЗ РАБИЦЫ (СТОЛБ/ВЕРХ)",,,,,
"chainLinkFenceTopPole2","blocks","Block","GrChanged","ЗАБОР ИЗ РАБИЦЫ (СТОЛБ 2/ВЕРХ)",,,,,
"chainLinkPole","blocks","Block","GrChanged","ЗАБОР ИЗ РАБИЦЫ (СТОЛБ)",,,,,
"chairCouchSofa01","blocks","Block","KeyChanged EnChanged GrChanged","Стул Софы 01",,,,,
"chemSet1","blocks","Block","New","Химический Набор 1",,,,,
"chemSet2","blocks","Block","New","Химический Набор 2",,,,,
"chemSet3","blocks","Block","New","Химический Набор 3",,,,,
"chemSetRandomHelper","blocks","Block","New","Химический Набор Случайный спавн",,,,,
"chemSetRandomHelperDesc","blocks","Block","New","Случайный спавн химических наборов декора.",,,,,
"cinderBlocks01","blocks","Block","KgNone","ШЛАКОБЛОКИ 1",,,,,
"cinderBlocks02","blocks","Block","KgNone","ШЛАКОБЛОКИ 2",,,,,
"cinderBlocks03","blocks","Block","KgNone","ШЛАКОБЛОКИ 3",,,,,
"cntBagsRandomLootHelper","blocks","Block","New","Сумка/Рюкзак Случайный спавн",,,,,
"cntBagsRandomLootHelperDesc","blocks","Block","New","Случайный спавн Сумки/Рюкзака, и кошельки (50%), мелкий хлам (25%) или ничего (25%).",,,,,
"cntBathTubEmpty","blocks","Block","New","Пустая Ванна",,,,,
"cntBathTubGore","blocks","Block","New","BAHHA C OCTAHKAMÜ",,,,,
"cntBathTubsRandomLootHelper","blocks","Block","New","= Bath Tubs Случайный спавн",,,,,
"cntBathTubsRandomLootHelperDesc","blocks","Block","New","Случайный спавн empty (often) and gore-filled (rare) bath tubs.",,,,,
"cntBookcaseEmpty","blocks","Block","New","Empty Bookcase",,,,,
"cntBusCity","blocks","Block","New","City Bus",,,,,
"cntBusSchool","blocks","Block","New","School Bus",,,,,
"cntBusSchoolShort","blocks","Block","New","Short School Bus",,,,,
"cntBusShuttle","blocks","Block","New","Shuttle Bus",,,,,
"cntCashRegisterEmpty","blocks","Block","KgNone","Cash Register Empty",,,,,
"cntCashRegisterRandomLootHelper","blocks","Block","New","= Cash Registers Случайный спавн",,,,,
"cntCashRegisterRandomLootHelperDesc","blocks","Block","New","Случайный спавн empty (often) and lootable (rare) cash registers.",,,,,
"cntFridgeStainlessSteelRandomLootHelper","blocks","Block","New","= S Steel Fridge Случайный спавн",,,,,
"cntFridgeStainlessSteelRandomLootHelperDesc","blocks","Block","New","Случайный спавн (65%) open and (35%) closed and lootable fridges.",,,,,
"cntMedicLootPileA","blocks","Block","New","Medical Supplies",,,,,
"cntMedicLootPileB","blocks","Block","New","Medical Supplies",,,,,
"cntMicrowaveOvenRandomLootHelper","blocks","Block","New","= Microwave Oven Случайный спавн",,,,,
"cntMicrowaveOvenRandomLootHelperDesc","blocks","Block","New","Случайный спавн (65%) open and (35%) closed and lootable microwaves.",,,,,
"cntMicrowaveOvenVer1Open","blocks","Block","New","Microwave, Open",,,,,
"cntPillCaseClosed","blocks","Block","New","Medical Cabinet",,,,,
"cntPillCaseEmpty","blocks","Block","New","Medical Cabinet Empty",,,,,
"cntPillCaseRandomLootHelper","blocks","Block","New","= Medical Cabinet Случайный спавн",,,,,
"cntPillCaseRandomLootHelperDesc","blocks","Block","New","Случайный спавн (65%) open and (35%) closed and lootable versions.",,,,,
"cntQuestLootBox","blocks","Block","New","Wilson's Loot Box",,,,,
"cntRetroFridgeRandomLootHelper","blocks","Block","New","= Retro Fridge Случайный спавн",,,,,
"cntRetroFridgeRandomLootHelperDesc","blocks","Block","New","Случайный спавн (65%) open and (35%) closed and lootable fridges.",,,,,
"cobblestoneArch","blocks","Block","New","БУЛЫЖНИК (АРКА 2М)",,,,,
"cobblestoneArrowSlitHalf","blocks","Block","New","БУЛЫЖНИК (БОЙНИЦА)",,,,,
"cobblestoneBlock","blocks","Block","KgNone","БУЛЫЖНИК (БЛОК)",,,,,
"cobblestoneCNRFull","blocks","Block","New","БУЛЫЖНИК (ПОЛНЫЙ УГОЛ)",,,,,
"cobblestoneCNRInside","blocks","Block","New","БУЛЫЖНИК (ВНУТР. УГОЛ)",,,,,
"cobblestoneCNRRamp","blocks","Block","New","БУЛЫЖНИК (РАМПА/УГОЛ)",,,,,
"cobblestoneCNRRampFiller","blocks","Block","New","БУЛЫЖНИК (РАМПА/УГОЛ/ЗАГЛУШКА)",,,,,
"cobblestoneCTRpole","blocks","Block","New","БУЛЫЖНИК (СТОЛБ/ЦЕНТР)",,,,,
"cobblestoneGableInvertedHalf","blocks","Block","New","Cobblestone Gable Inverted Half",,,,,
"cobblestoneGableInvertedQuarter","blocks","Block","New","Cobblestone Gable Inverted Quarter",,,,,
"cobblestoneGableInvertedSteep","blocks","Block","New","Cobblestone Gable Inverted Steep",,,,,
"cobblestoneGableQuarter","blocks","Block","New","Cobblestone Gable Quarter",,,,,
"cobblestoneGroupDesc","blocks","Block","New","You get Cobblestone by upgrading Flagstone blocks. One of the strongest blocks you can build early on.",,,,,
"cobblestoneHalf","blocks","Block","New","БУЛЫЖНИК (1/2 БЛОКА)",,,,,
"cobblestonePillar100","blocks","Block","New","БУЛЫЖНИК (КОЛОННА 100)",,,,,
"cobblestonePillar50","blocks","Block","New","БУЛЫЖНИК (КОЛОННА 50)",,,,,
"cobblestonePlate","blocks","Block","New","БУЛЫЖНИК (ПЛИТА)",,,,,
"cobblestonePlateOffset","blocks","Block","New","Cobblestone (Сдвинутая плита)",,,,,
"cobblestonePole","blocks","Block","New","БУЛЫЖНИК (СТОЛБ)",,,,,
"cobblestonePyramid","blocks","Block","New","БУЛЫЖНИК (ПИРАМИДА)",,,,,
"cobblestoneQuarterCNR","blocks","Block","New","Cobblestone 1/4 Corner",,,,,
"cobblestoneQuarterCNR3Way","blocks","Block","New","Cobblestone (1/4 блока/тройник)",,,,,
"cobblestoneQuarterSCtr","blocks","Block","New","Cobblestone (1/4 блока/Центр/Край)",,,,,
"cobblestoneQuarterTeeSCtr","blocks","Block","New","Cobblestone (1/4 блока/ Т-образный/Край)",,,,,
"cobblestoneRamp","blocks","Block","KgNone","БУЛЫЖНИК (РАМПА)",,,,,
"cobblestoneStairs25","blocks","Block","KgNone","БУЛЫЖНИК (СТУПЕНЬКИ)",,,,,
"cobblestoneStairs25CornerCNR","blocks","Block","New","БУЛЫЖНИК (СТУПЕНЬКИ/УГОЛ)",,,,,
"cobblestoneStairs25Desc","blocks","Block","KgNone","Саn ве uрgrаdеd tо соnсrеtе.",,,,,
"cobblestoneWedge","blocks","Block","New","БУЛЫЖНИК (КЛИН)",,,,,
"cobblestoneWedgeCNRInsideBottom","blocks","Block","New","БУЛЫЖНИК (КЛИН/ВНУТР. УГОЛ/НИЗ)",,,,,
"cobblestoneWedgeCNRInsideSteepBase","blocks","Block","New","Cobblestone (Клин) Steep Inside Corner Base",,,,,
"cobblestoneWedgeCNRInsideSteepTop","blocks","Block","New","Cobblestone (Клин) Steep Inside Corner Top",,,,,
"cobblestoneWedgeCNRInsideTop","blocks","Block","New","БУЛЫЖНИК (КЛИН/ВНУТР. УГОЛ/ВЕРХ)",,,,,
"cobblestoneWedgeCNRSteepBase","blocks","Block","New","Cobblestone (Клин) Steep Corner Base",,,,,
"cobblestoneWedgeCNRSteepTop","blocks","Block","New","Cobblestone (Клин) Steep Corner Top",,,,,
"cobblestoneWedgeIncline","blocks","Block","New","БУЛЫЖНИК (КЛИН/НАКЛОН)",,,,,
"cobblestoneWedgeStairs","blocks","Block","New","БУЛЫЖНИК (КЛИН/СТУПЕНЬКИ)",,,,,
"cobblestoneWedgeTip","blocks","Block","New","БУЛЫЖНИК (КЛИН/КОНЧИК)",,,,,
"cobblestoneWedgeTipCNRFullBottom","blocks","Block","New","БУЛЫЖНИК (КЛИН/ПОЛНЫЙ УГОЛ/НИЗ)",,,,,
"cobblestoneWedgeTipCNRFullTop","blocks","Block","New","БУЛЫЖНИК (КЛИН/ПОЛНЫЙ УГОЛ/ВЕРХ)",,,,,
"cobblestoneWedgeTipStairs","blocks","Block","New","БУЛЫЖНИК (КЛИН/КОНЧИК/СТУПЕНЬКИ)",,,,,
"cobweb","blocks","Block","KgNone","ПАУТИНА",,,,,
"cobwebDesc","blocks","Block","KgNone","ПАУТИНУ ДЕЛАЮТ ПАУКИ. ЕСЛИ ЭТО БЫЛ МАRVЕL, ТО ЭТО МОЖЕТ ЧТО-ТО ЗНАЧИТЬ.",,,,,
"coffeeTable","blocks","Block","New","Coffee Table",,,,,
"commercialBlindsBottom","blocks","Block","New","КОММЕРЧЕСКИЕ ЖАЛЮЗИ (НИЗ)",,,,,
"commercialBlindsTop","blocks","Block","New","КОММЕРЧЕСКИЕ ЖАЛЮЗИ (ВЕРХ)",,,,,
"commercialDoor1_v1","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 1",,,,,
"commercialDoor1_v2","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 1А",,,,,
"commercialDoor1_v3","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 1В",,,,,
"commercialDoor2_v1","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 2",,,,,
"commercialDoor2_v2","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 2А",,,,,
"commercialDoor2_v3","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 2В",,,,,
"commercialDoor4_v1","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 4",,,,,
"commercialDoor4_v2","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 4А",,,,,
"commercialDoor4_v3","blocks","Block","KgNone","КОММЕРЧЕСКАЯ ДВЕРЬ 4В",,,,,
"concreteArch","blocks","Block","New","БЕТОН (АРКА 2М)",,,,,
"concreteArrowSlitHalf","blocks","Block","New","БЕТОН (БОЙНИЦА)",,,,,
"concreteBarrier1","blocks","Block","New","Concrete Barrier 1",,,,,
"concreteBarrier2","blocks","Block","New","Concrete Barrier 2",,,,,
"concreteBarrier3","blocks","Block","New","Concrete Barrier 3",,,,,
"concreteBlock","blocks","Block","KgNone","БЕТОН (БЛОК)",,,,,
"concreteBlockBaseboard1","blocks","Block","New","Concrete Block Baseboard 1",,,,,
"concreteBlockBaseboard4","blocks","Block","New","Concrete Block Baseboard 4",,,,,
"concreteBlockBaseboardChairRail1","blocks","Block","New","Concrete Block Baseboard С деревянным покрытием 1",,,,,
"concreteBlockBaseboardChairRail4","blocks","Block","New","Concrete Block Baseboard С деревянным покрытием 4",,,,,
"concreteBlockTileBroken01","blocks","Block","New","Concrete Block, Broken Tile",,,,,
"concreteCNRFull","blocks","Block","KgNone","БЕТОН (ПОЛНЫЙ УГОЛ)",,,,,
"concreteCNRInside","blocks","Block","KgNone","БЕТОН (ВНУТР. УГОЛ)",,,,,
"concreteCNRRamp","blocks","Block","KgNone","БЕТОН (РАМПА/УГОЛ)",,,,,
"concreteCNRRampFiller","blocks","Block","New","БЕТОН (РАМПА/УГОЛ/ЗАГЛУШКА)",,,,,
"concreteCNRRound","blocks","Block","New","БЕТОН (КРУГЛЫЙ УГОЛ)",,,,,
"concreteCNRRoundTop","blocks","Block","New","БЕТОН (КРУГЛЫЙ УГОЛ/ВЕРХ)",,,,,
"concreteCornerstone","blocks","Block","New","Concrete Cornerstone",,,,,
"concreteCTRPlate","blocks","Block","KgNone","БЕТОН (ПЛИТА/ЦЕНТР)",,,,,
"concreteCTRpole","blocks","Block","New","БЕТОН (СТОЛБ/ЦЕНТР)",,,,,
"concreteCTRQuarter","blocks","Block","New","Concrete 1/4 Block Centered",,,,,
"concreteDestroyed01","blocks","Block","New","РАЗРУШЕННЫЙ БЕТОН 1",,,,,
"concreteDestroyed02","blocks","Block","New","РАЗРУШЕННЫЙ БЕТОН 2",,,,,
"concreteDestroyed03","blocks","Block","New","РАЗРУШЕННЫЙ БЕТОН 3",,,,,
"concreteDestroyed04","blocks","Block","New","РАЗРУШЕННЫЙ БЕТОН 4",,,,,
